id,dataset,resource,base,model,property,type,ref,source,prepare,level,status,visibility,access,uri,eli,title,description
,,,,,,,,46,,,,,,atu:LTU_RSV_JNA,,Jonavos rajono savivaldybė,Jonavos rajono savivaldybė
,,,,,,,,47,,,,,,atu:LTU_RSV_JON,,Joniškio rajono savivaldybė,Joniškio rajono savivaldybė
,,,,,,,,48,,,,,,atu:LTU_MSV_KAL,,Kalvarijos savivaldybė,Kalvarijos savivaldybė
,,,,,,,,49,,,,,,atu:LTU_RSV_KAI,,Kaišiadorių rajono savivaldybė,Kaišiadorių rajono savivaldybė
,,,,,,,,52,,,,,,atu:LTU_RSV_KAU,,Kauno rajono savivaldybė,Kauno rajono savivaldybė
,,,,,,,,53,,,,,,atu:LTU_RSV_KED,,Kėdainių rajono savivaldybė,Kėdainių rajono savivaldybė
,,,,,,,,54,,,,,,atu:LTU_RSV_KEL,,Kelmės rajono savivaldybė,Kelmės rajono savivaldybė
,,,,,,,,55,,,,,,atu:LTU_RSV_KLP,,Klaipėdos rajono savivaldybė,Klaipėdos rajono savivaldybė
,,,,,,,,56,,,,,,atu:LTU_RSV_KRE,,Kretingos rajono savivaldybė,Kretingos rajono savivaldybė
,,,,,,,,57,,,,,,atu:LTU_RSV_KUP,,Kupiškio rajono savivaldybė,Kupiškio rajono savivaldybė
,,,,,,,,58,,,,,,atu:LTU_MSV_KAZ,,Kazlų Rūdos savivaldybė,Kazlų Rūdos savivaldybė
,,,,,,,,59,,,,,,atu:LTU_RSV_LAZ,,Lazdijų rajono savivaldybė,Lazdijų rajono savivaldybė
,,,,,,,,61,,,,,,atu:LTU_RSV_MAZ,,Mažeikių rajono savivaldybė,Mažeikių rajono savivaldybė
,,,,,,,,62,,,,,,atu:LTU_RSV_MOL,,Molėtų rajono savivaldybė,Molėtų rajono savivaldybė
,,,,,,,,63,,,,,,atu:LTU_MSV_PAG,,Pagėgių savivaldybė,Pagėgių savivaldybė
,,,,,,,,65,,,,,,atu:LTU_RSV_PAK,,Pakruojo rajono savivaldybė,Pakruojo rajono savivaldybė
,,,,,,,,66,,,,,,atu:LTU_RSV_PNE,,Panevėžio rajono savivaldybė,Panevėžio rajono savivaldybė
,,,,,,,,67,,,,,,atu:LTU_RSV_PAS,,Pasvalio rajono savivaldybė,Pasvalio rajono savivaldybė
,,,,,,,,68,,,,,,atu:LTU_RSV_PLU,,Plungės rajono savivaldybė,Plungės rajono savivaldybė
,,,,,,,,69,,,,,,atu:LTU_RSV_PRI,,Prienų rajono savivaldybė,Prienų rajono savivaldybė
,,,,,,,,71,,,,,,atu:LTU_RSV_RAD,,Radviliškio rajono savivaldybė,Radviliškio rajono savivaldybė
,,,,,,,,72,,,,,,atu:LTU_RSV_RAS,,Raseinių rajono savivaldybė,Raseinių rajono savivaldybė
,,,,,,,,73,,,,,,atu:LTU_RSV_ROK,,Rokiškio rajono savivaldybė,Rokiškio rajono savivaldybė
,,,,,,,,74,,,,,,atu:LTU_MSV_RIE,,Rietavo savivaldybė,Rietavo savivaldybė
