id,dataset,resource,base,model,property,type,ref,source,prepare,level,status,visibility,access,uri,eli,title,description
,,,,,deregistered,date,D,AOB_IKI,,4,completed,package,public,,,Adreso suteikto žemės sklypui ir/arba pastatui objekto išregistravimo data,Adreso suteikto žemės sklypui ir/arba pastatui objekto išregistravimo data
,,,/,,,,,,,,,,,,,,
,,,Address,,,,code,,,1,completed,public,,locn:Address,,,
,,,,Premise,,,code,/PATALPOS/PATALPA,,5,completed,public,,locn:Address,,Adresas suteiktas gyvenamajai arba negyvenamajai patalpai,Adresas suteiktas gyvenamajai arba negyvenamajai patalpai
,,,,,code,integer required,,PAT_KODAS,,5,completed,public,public,locn:addressId,,Adreso suteikto gyvenamajai arba negyvenamajai patalpai identifikavimo kodas,Adreso suteikto gyvenamajai arba negyvenamajai patalpai identifikavimo kodas
,,,,,id,integer,,PAT_ID,,5,completed,public,private,locn:addressId,,Adreso suteikto gyvenamajai arba negyvenamajai patalpai techninis identifikatorius,Adreso suteikto gyvenamajai arba negyvenamajai patalpai techninis identifikatorius (planuojama neteikti)
,,,,,building,ref,Building[code],AOB_KODAS,,5,completed,public,public,locn:addressId,,Adreso suteikto gyvenamajai arba negyvenamajai patalpai priklausomybė pastatui,"Adreso suteikto gyvenamajai arba negyvenamajai patalpai pastato, kuriam priklauso patalpa, identifikavimo kodas"
,,,,,locator_designator,string,,PATALPOS_NR,,5,completed,public,public,locn:locatorDesignator,,Patalpos numeris,Adreso suteikto gyvenamajai arba negyvenamajai patalpai patalpos numeris pastate arba korpuse
,,,,,_label,string,,PATALPOS_NR,,5,completed,public,public,,,Patalpos numeris,Adreso suteikto gyvenamajai arba negyvenamajai patalpai patalpos numeris pastate arba korpuse
,,,,,has_locator_designator,ref,LocatorDesignator,PAT_KODAS,"code, has_locator_designator.designator, has_locator_designator.type",1,completed,public,public,cv:hasLocatorDesignator,,Adreso suteikto gyvenamajai arba negyvenamajai patalpai identifikavimo kodas,Adreso suteikto gyvenamajai arba negyvenamajai patalpai identifikavimo kodas
,,,,,has_locator_designator.designator,string,,PATALPOS_NR,,5,completed,public,public,cv:hasLocatorDesignator,,Patalpos numeris,Adreso suteikto gyvenamajai arba negyvenamajai patalpai patalpos numeris pastate arba korpuse
,,,,,has_locator_designator.type,string,,,"'entranceDoorIdentifier'",5,completed,public,public,ad:LocatorDesignator.type,,Patalpos numeris,Adreso suteikto gyvenamajai arba negyvenamajai patalpai patalpos numeris pastate arba korpuse
,,,,,_created,date,D,NUO,,5,completed,public,public,dct:created,,Adreso suteikto gyvenamajai arba negyvenamajai patalpai objekto atributų rinkinio galiojimo pradžia,Adreso suteikto gyvenamajai arba negyvenamajai patalpai  objekto atributų rinkinio galiojimo pradžios data
,,,,,_updated,date,D,IKI,,5,completed,public,public,dct:updated,,Adreso suteikto gyvenamajai arba negyvenamajai patalpai objekto atributų rinkinio galiojimo pabaiga,Adreso suteikto gyvenamajai arba negyvenamajai patalpai objekto atributų rinkinio galiojimo pabaigos data
,,,,,registered,date,D,PAT_NUO,,4,completed,package,public,,,Adreso suteikto gyvenamajai arba negyvenamajai patalpai objekto įregistravimo data,Adreso suteikto gyvenamajai arba negyvenamajai patalpai objekto įregistravimo data
,,,,,deregistered,date,D,PAT_IKI,,4,completed,package,public,,,Adreso suteikto gyvenamajai arba negyvenamajai patalpai objekto išregistravimo data,Adreso suteikto gyvenamajai arba negyvenamajai patalpai objekto išregistravimo data
,,,/,,,,,,,,,,,,,,
